Date,Description,Amount,Category
2024-01-22,Mobile Recharge,1.83,Bills
2024-01-09,Cab Fare,13.06,Transport
2024-01-25,DTH Recharge,25.75,Bills
2024-01-04,Pizza Hut,50.59,Food
2024-01-06,Bonus,977560.45,Income
2024-01-19,Electronics Store,54.52,Shopping
2024-01-14,Mobile Recharge,7.38,Bills
2024-01-03,Refund,40.55,Income
2024-01-02,Dominos,7.8,Food
2024-01-06,Netflix,205026.46,Entertainment
2024-01-24,Donation,37.89,Other
2024-01-22,Amazon,16.07,Shopping
2024-01-05,Amusement Park,29.12,Entertainment
2024-01-10,Flipkart,12.77,Shopping
2024-01-23,Restaurant,15.25,Food
2024-01-14,Miscellaneous,84.03,Other
2024-01-20,Internet Bill,1.62,Bills
2024-01-29,Lottery,97.1,Other
2024-01-27,Salary,612900.72,Income
2024-01-13,Uber,8.18,Transport
2024-01-31,YouTube Premium,12.32,Entertainment
2024-01-20,Flipkart,30.42,Shopping
2024-01-12,Electronics Store,24.23,Shopping
2024-01-08,Bus Ticket,50.36,Transport
2024-01-10,BookMyShow,22.65,Entertainment
2024-01-14,Cafe Coffee Day,44.63,Food
2024-01-22,Dominos,10.07,Food
2024-01-09,Donation,11.65,Other
2024-01-06,Metro,33.88,Transport
2024-01-11,Cab Fare,85.69,Transport
2024-01-01,Myntra,16.28,Shopping
2024-01-21,Pizza Hut,28.34,Food
2024-01-08,Big Bazaar,19.28,Food
2024-01-27,Big Bazaar,32.21,Food
2024-01-18,Electronics Store,0.48,Shopping
2024-01-17,Dominos,11.01,Food
2024-01-10,Train Ticket,5.5,Transport
2024-01-28,Ola,25.13,Transport
2024-01-29,Cab Fare,18.21,Transport
2024-01-15,Salary,20.76,Income
2024-01-05,Ola,49.17,Transport
2024-01-10,Refund,7.14,Income
2024-01-20,Miscellaneous,28.75,Other
2024-01-20,Shopping Mall,5.07,Shopping
2024-01-22,Gas Bill,79.15,Bills
2024-01-17,Netflix,1.85,Entertainment
2024-01-22,Ola,130.53,Transport
2024-01-23,Electronics Store,22.12,Shopping
2024-01-05,Internet Bill,22.94,Bills
2024-01-21,Dominos,85.06,Food
2024-01-10,Amazon,54.74,Shopping
2024-01-02,Electricity Bill,7.33,Bills
2024-01-08,Spotify,13.7,Entertainment
2024-01-02,Myntra,24.99,Shopping
2024-01-17,Lottery,2.91,Other
2024-01-21,Bonus,17.53,Income
2024-01-03,Swiggy,6.36,Food
2024-01-02,Shopping Mall,2.83,Shopping
2024-01-17,BookMyShow,59.4,Entertainment
2024-01-21,Cashback,10.44,Other
2024-01-27,Big Bazaar,50.47,Food
2024-01-23,Uber,735017.66,Transport
2024-01-08,Bus Ticket,2.34,Transport
2024-01-07,Ola,14.77,Transport
2024-01-13,Shopping Mall,223.67,Shopping
2024-01-12,Ola,29.2,Transport
2024-01-12,Miscellaneous,189.93,Other
2024-01-23,Freelance Payment,0.87,Income
2024-01-30,Gas Bill,147415.45,Bills
2024-01-10,Mobile Recharge,16.62,Bills
2024-01-18,Salary,520579.69,Income
2024-01-09,Movie,116086.54,Entertainment
2024-01-28,Miscellaneous,7.04,Other
2024-01-04,Bonus,14.84,Income
2024-01-25,Myntra,11.89,Shopping
2024-01-05,Uber,38.75,Transport
2024-01-18,Salary,314.78,Income
2024-01-24,Salary,33.67,Income
2024-01-28,Electricity Bill,110.2,Bills
2024-01-15,Electricity Bill,0.85,Bills
2024-01-18,Pizza Hut,726142.86,Food
2024-01-17,Refund,58.69,Income
2024-01-27,Bus Ticket,323.64,Transport
2024-01-28,Gas Bill,11.2,Bills
2024-01-31,Groceries,31.38,Food
2024-01-25,Electronics Store,44.1,Shopping
2024-01-04,Clothing Store,16.71,Shopping
2024-01-13,Train Ticket,23.6,Transport
2024-01-03,Bonus,20.64,Income
2024-01-31,Bonus,22.17,Income
2024-01-04,Concert,37.07,Entertainment
2024-01-22,Amazon,9.26,Shopping
2024-01-29,Ola,10.54,Transport
2024-01-26,Amazon,164.33,Shopping
2024-01-15,Gift,17.74,Other
2024-01-14,Lottery,5.22,Other
2024-01-05,Spotify,32.26,Entertainment
2024-01-29,Flipkart,26.25,Shopping
2024-01-14,Amazon,5.07,Shopping
2024-01-18,Swiggy,98.31,Food
2024-01-14,YouTube Premium,0.92,Entertainment
2024-01-20,Miscellaneous,0.6,Other
2024-01-24,Netflix,19.22,Entertainment
2024-01-18,Lifestyle,4.16,Shopping
2024-01-17,Bonus,532456.25,Income
2024-01-01,Netflix,534120.74,Entertainment
2024-01-20,Petrol,25.26,Transport
2024-01-26,Train Ticket,2.13,Transport
2024-01-06,Cab Fare,11.67,Transport
2024-01-12,Dominos,12.31,Food
2024-01-04,Metro,10.62,Transport
2024-01-28,Freelance Payment,66.55,Income
2024-01-04,Train Ticket,9.81,Transport
2024-01-18,Gas Bill,11.8,Bills
2024-01-19,Freelance Payment,4.75,Income
2024-01-30,Lifestyle,331914.6,Shopping
2024-01-24,Water Bill,11.8,Bills
2024-01-02,Uber,113.45,Transport
2024-01-29,Movie,85.51,Entertainment
2024-01-03,BookMyShow,32.56,Entertainment
2024-01-15,Metro,28.68,Transport
2024-01-25,Salary,14.58,Income
2024-01-13,Cafe Coffee Day,48.81,Food
2024-01-29,Donation,5.1,Other
2024-01-22,Metro,15.1,Transport
2024-01-05,Concert,0.74,Entertainment
2024-01-20,Swiggy,12.01,Food
2024-01-29,Train Ticket,144.06,Transport
2024-01-12,Big Bazaar,10.11,Food
2024-01-02,Metro,-11.13,Transport
2024-01-06,Restaurant,21.64,Food
2024-01-10,YouTube Premium,0.31,Entertainment
2024-01-15,YouTube Premium,13.02,Entertainment
2024-01-30,Freelance Payment,12.55,Income
2024-01-01,Petrol,937853.83,Transport
2024-01-09,Groceries,28.17,Food
2024-01-04,Train Ticket,60.68,Transport
2024-01-02,Bus Ticket,15.22,Transport
2024-01-25,Bus Ticket,14.48,Transport
2024-01-28,Electricity Bill,91.22,Bills
2024-01-14,Electricity Bill,628355.54,Bills
2024-01-16,Petrol,237.64,Transport
2024-01-14,Train Ticket,3.34,Transport
2024-01-15,Metro,-276200.19,Transport
2024-01-19,Mobile Recharge,23.16,Bills
2024-01-27,Train Ticket,30.51,Transport
2024-01-04,Mobile Recharge,2.45,Bills
2024-01-07,Uber,31.08,Transport
2024-01-01,Electricity Bill,3.48,Bills
2024-01-22,Amusement Park,32.61,Entertainment
2024-01-10,DTH Recharge,86.3,Bills
2024-01-04,Restaurant,31.95,Food
2024-01-15,YouTube Premium,9.58,Entertainment
2024-01-22,Groceries,27.3,Food
2024-01-30,Internet Bill,57.99,Bills
2024-01-10,Restaurant,228.51,Food
2024-01-26,Refund,58.79,Income
2024-01-05,Freelance Payment,67.66,Income
2024-01-17,Cafe Coffee Day,10.59,Food
2024-01-08,Movie,6.58,Entertainment
2024-01-12,Freelance Payment,6.02,Income
2024-01-08,Train Ticket,44.98,Transport
2024-01-23,Interest Credit,84.97,Income
2024-01-30,Netflix,43.11,Entertainment
2024-01-22,Mobile Recharge,52.03,Bills
2024-01-20,Cab Fare,46.55,Transport
2024-01-11,Bus Ticket,8.46,Transport
2024-01-06,Myntra,4.64,Shopping
2024-01-10,Electronics Store,26.48,Shopping
2024-01-14,Freelance Payment,20.05,Income
2024-01-02,Bonus,9.63,Income
2024-01-02,Shopping Mall,59.81,Shopping
2024-01-09,Pizza Hut,302.28,Food
2024-01-04,Salary,14.44,Income
2024-01-14,Big Bazaar,21.38,Food
2024-01-11,Movie,-35.97,Entertainment
2024-01-02,Freelance Payment,6.94,Income
2024-01-23,Bonus,31.78,Income
2024-01-07,Amazon,10.23,Shopping
2024-01-28,Pizza Hut,14.4,Food
2024-01-05,Freelance Payment,4.47,Income
2024-01-21,DTH Recharge,15.69,Bills
2024-01-18,Refund,11.01,Income
2024-01-17,Gas Bill,30.91,Bills
2024-01-04,Amazon,2.33,Shopping
2024-01-29,Metro,193.76,Transport
2024-01-09,Amusement Park,101.32,Entertainment
2024-01-18,Swiggy,15.95,Food
2024-01-17,Metro,38.36,Transport
2024-01-12,Miscellaneous,35.15,Other
2024-01-24,Big Bazaar,15.61,Food
2024-01-14,Amazon,22.18,Shopping
2024-01-08,BookMyShow,10.26,Entertainment
2024-01-08,Train Ticket,74.74,Transport
2024-01-09,Swiggy,5.06,Food
2024-01-04,Restaurant,11.56,Food
2024-01-28,BookMyShow,21.39,Entertainment
2024-01-09,Ola,0.12,Transport
2024-01-21,Food Court,2.97,Food
2024-01-30,BookMyShow,2.36,Entertainment
2024-01-14,Miscellaneous,28.01,Other
2024-01-25,Interest Credit,3.24,Income
2024-01-24,Interest Credit,31.18,Income
2024-01-03,Amusement Park,9.81,Entertainment
2024-01-08,Donation,60.47,Other
2024-01-10,Cafe Coffee Day,25.17,Food
2024-01-16,Ola,67.35,Transport
2024-01-17,Electricity Bill,784891.68,Bills
2024-01-24,Salary,17.58,Income
2024-01-10,Lifestyle,31.86,Shopping
2024-01-14,Bonus,0.19,Income
2024-01-04,Concert,7.67,Entertainment
2024-01-24,DTH Recharge,11.12,Bills
2024-01-17,Train Ticket,28.04,Transport
2024-01-19,Donation,16.66,Other
2024-01-31,Mobile Recharge,12.2,Bills
2024-01-17,Netflix,106.14,Entertainment
2024-01-15,Interest Credit,40.2,Income
2024-01-18,Interest Credit,75.08,Income
2024-01-06,Lifestyle,2.38,Shopping
2024-01-29,Groceries,28.66,Food
2024-01-06,Mobile Recharge,17.08,Bills
2024-01-12,Metro,0.07,Transport
2024-01-30,Netflix,23.58,Entertainment
2024-01-16,Movie,6.86,Entertainment
2024-01-04,Freelance Payment,7.53,Income
2024-01-06,Myntra,63.97,Shopping
2024-01-16,Gift,188.04,Other
2024-01-18,Lottery,17.81,Other
2024-01-19,Internet Bill,10.34,Bills
2024-01-10,Pizza Hut,3.4,Food
2024-01-29,Big Bazaar,72.33,Food
2024-01-06,Metro,14.51,Transport
2024-01-25,Uber,23.75,Transport
2024-01-08,Petrol,1.49,Transport
2024-01-17,Interest Credit,6.61,Income
2024-01-21,Lottery,11.81,Other
2024-01-26,Cashback,7.04,Other
2024-01-10,Movie,150.12,Entertainment
2024-01-18,BookMyShow,185.09,Entertainment
2024-01-09,Flipkart,4.51,Shopping
2024-01-16,Amusement Park,15.04,Entertainment
2024-01-03,Freelance Payment,34.23,Income
2024-01-23,Shopping Mall,7.92,Shopping
2024-01-09,Mobile Recharge,10.96,Bills
2024-01-23,BookMyShow,56.75,Entertainment
2024-01-27,Gas Bill,7.28,Bills
2024-01-30,Electricity Bill,840662.6,Bills
2024-01-12,Internet Bill,29.15,Bills
2024-01-24,Groceries,14.51,Food
2024-01-30,Train Ticket,11.61,Transport
2024-01-18,Pizza Hut,59.86,Food
2024-01-15,Ola,76.62,Transport
2024-01-03,Flipkart,0.74,Shopping
2024-01-31,YouTube Premium,27.43,Entertainment
2024-01-21,Myntra,15.11,Shopping
2024-01-03,Amazon,62.27,Shopping
2024-01-27,Amusement Park,4.72,Entertainment
2024-01-03,Donation,17.36,Other
2024-01-08,Electronics Store,6.88,Shopping
2024-01-09,Freelance Payment,36.41,Income
2024-01-14,Myntra,53.16,Shopping
2024-01-11,Refund,521891.17,Income
2024-01-27,Internet Bill,22.22,Bills
2024-01-23,Concert,32.17,Entertainment
2024-01-18,DTH Recharge,624526.15,Bills
2024-01-17,Gas Bill,7.24,Bills
2024-01-22,Uber,0.7,Transport
2024-01-19,Spotify,35.24,Entertainment
2024-01-28,Interest Credit,91.02,Income
2024-01-23,Concert,15.15,Entertainment
2024-01-18,Swiggy,1.43,Food
2024-01-29,Pizza Hut,10.25,Food
2024-01-20,Electricity Bill,19.28,Bills
2024-01-01,Pizza Hut,0.83,Food
2024-01-11,Cab Fare,22.95,Transport
2024-01-07,Salary,8.52,Income
2024-01-11,Miscellaneous,0.68,Other
2024-01-13,DTH Recharge,13.38,Bills
2024-01-26,Amusement Park,5.84,Entertainment
2024-01-18,Electricity Bill,11.81,Bills
2024-01-05,Petrol,23.61,Transport
2024-01-07,Clothing Store,107.08,Shopping
2024-01-13,Cab Fare,11.7,Transport
2024-01-27,Train Ticket,43.77,Transport
2024-01-02,Water Bill,25.96,Bills
2024-01-21,Swiggy,3.11,Food
2024-01-06,Salary,9.87,Income
2024-01-26,Amusement Park,9.87,Entertainment
2024-01-12,Interest Credit,141.58,Income
2024-01-04,Miscellaneous,2.71,Other
2024-01-07,Netflix,9.37,Entertainment
2024-01-11,Amusement Park,681240.15,Entertainment
2024-01-05,Donation,47.35,Other
2024-01-30,Metro,106.28,Transport
2024-01-22,Flipkart,188.53,Shopping
2024-01-10,Flipkart,15.11,Shopping
2024-01-09,Amusement Park,116.57,Entertainment
2024-01-17,Pizza Hut,3.69,Food
2024-01-03,Water Bill,3.92,Bills
2024-01-12,Petrol,8.44,Transport
2024-01-29,Clothing Store,10.15,Shopping
2024-01-08,Lifestyle,16.03,Shopping
2024-01-08,Salary,261.8,Income
2024-01-11,Amusement Park,368.26,Entertainment
2024-01-05,Refund,771274.03,Income
2024-01-16,Food Court,39.79,Food
2024-01-04,Concert,13.38,Entertainment
2024-01-18,Bonus,40.6,Income
2024-01-15,Groceries,9.04,Food
2024-01-17,Cashback,-17.86,Other
2024-01-27,Swiggy,92.71,Food
2024-01-30,Gas Bill,884843.5,Bills
2024-01-25,Mobile Recharge,47.85,Bills
2024-01-01,Bonus,0.74,Income
2024-01-09,Lottery,0.94,Other
2024-01-04,Miscellaneous,29.57,Other
2024-01-13,Bonus,65.18,Income
2024-01-10,Bus Ticket,20.76,Transport
2024-01-15,Spotify,39.23,Entertainment
2024-01-22,Cashback,14.78,Other
2024-01-13,Gas Bill,62.21,Bills
2024-01-30,Internet Bill,89.72,Bills
2024-01-18,Petrol,4.76,Transport
2024-01-13,Freelance Payment,50.79,Income
2024-01-02,Clothing Store,37.17,Shopping
2024-01-29,Petrol,6.95,Transport
2024-01-18,Petrol,56.23,Transport
2024-01-19,Dominos,49.78,Food
2024-01-19,Groceries,7.74,Food
2024-01-26,Internet Bill,15.66,Bills
2024-01-15,Electricity Bill,46.14,Bills
2024-01-15,Lottery,58.09,Other
2024-01-05,Dominos,78.24,Food
2024-01-18,Uber,31.46,Transport
2024-01-18,Bonus,17.51,Income
2024-01-22,Gas Bill,119.55,Bills
2024-01-24,Cafe Coffee Day,10.14,Food
2024-01-22,Cashback,7.72,Other
2024-01-22,Cafe Coffee Day,700179.99,Food
2024-01-22,Bus Ticket,0.39,Transport
2024-01-12,Cafe Coffee Day,762580.38,Food
2024-01-20,Interest Credit,19.66,Income
2024-01-12,Cashback,15.04,Other
2024-01-26,Electronics Store,363977.75,Shopping
2024-01-21,Cashback,24.82,Other
2024-01-03,Amusement Park,41.98,Entertainment
2024-01-28,Electricity Bill,42.29,Bills
2024-01-27,Cashback,20.55,Other
2024-01-27,Metro,25.89,Transport
2024-01-11,Internet Bill,28.74,Bills
2024-01-25,Swiggy,13.38,Food
2024-01-24,Miscellaneous,68.44,Other
2024-01-29,Salary,68.4,Income
2024-01-14,Bus Ticket,22.61,Transport
2024-01-13,DTH Recharge,31.59,Bills
2024-01-03,Myntra,32.87,Shopping
2024-01-25,BookMyShow,30.21,Entertainment
2024-01-29,Ola,0.02,Transport
2024-01-02,Lifestyle,10.7,Shopping
2024-01-11,Cab Fare,63.75,Transport
2024-01-22,Miscellaneous,14.16,Other
2024-01-21,Netflix,33.44,Entertainment
2024-01-22,Metro,36.64,Transport
2024-01-24,Internet Bill,19.65,Bills
2024-01-07,Donation,11.76,Other
2024-01-14,Groceries,95.73,Food
2024-01-18,Restaurant,10.38,Food
2024-01-11,Netflix,9.2,Entertainment
2024-01-24,Swiggy,10.41,Food
2024-01-26,Electricity Bill,22.57,Bills
2024-01-26,Flipkart,38.2,Shopping
2024-01-08,Gas Bill,41.6,Bills
2024-01-25,Food Court,36.34,Food
2024-01-31,Myntra,42.3,Shopping
2024-01-03,Mobile Recharge,13.44,Bills
2024-01-21,Uber,10.33,Transport
2024-01-05,Salary,0.42,Income
2024-01-22,Restaurant,0.44,Food
2024-01-15,Cashback,10.52,Other
2024-01-19,Pizza Hut,38.48,Food
2024-01-07,Salary,93.37,Income
2024-01-27,Refund,5.54,Income
2024-01-22,Cab Fare,23.48,Transport
2024-01-01,Swiggy,3.5,Food
2024-01-02,Miscellaneous,48.05,Other
2024-01-02,Donation,14.85,Other
2024-01-20,Amazon,25.6,Shopping
2024-01-17,Internet Bill,28.3,Bills
2024-01-18,Shopping Mall,12.26,Shopping
2024-01-23,Groceries,12.95,Food
2024-01-08,BookMyShow,27.93,Entertainment
2024-01-03,Lifestyle,148.58,Shopping
2024-01-31,Myntra,20.99,Shopping
2024-01-24,Concert,43.07,Entertainment
2024-01-20,Donation,13.05,Other
2024-01-01,Netflix,2.85,Entertainment
2024-01-01,Electricity Bill,31.49,Bills
2024-01-04,Freelance Payment,147.63,Income
2024-01-23,Pizza Hut,9.75,Food
2024-01-02,Electronics Store,505104.87,Shopping
2024-01-26,Freelance Payment,16.69,Income
2024-01-03,Netflix,22.33,Entertainment
2024-01-23,Metro,4.1,Transport
2024-01-30,Donation,11.01,Other
2024-01-09,Water Bill,14.9,Bills
2024-01-01,Food Court,3.55,Food
2024-01-19,Shopping Mall,55.63,Shopping
2024-01-13,Internet Bill,38.76,Bills
2024-01-04,YouTube Premium,83.93,Entertainment
2024-01-27,Pizza Hut,96.25,Food
2024-01-28,Freelance Payment,43.27,Income
2024-01-25,Cashback,0.59,Other
2024-01-21,Restaurant,11.69,Food
2024-01-03,Cashback,9.31,Other
2024-01-23,Freelance Payment,7.71,Income
2024-01-10,Petrol,34.8,Transport
2024-01-14,Salary,33.76,Income
2024-01-22,Uber,23.79,Transport
2024-01-26,Electricity Bill,0.79,Bills
2024-01-28,Flipkart,10.31,Shopping
2024-01-13,Petrol,133.13,Transport
2024-01-23,Spotify,9.4,Entertainment
2024-01-21,Electronics Store,0.41,Shopping
2024-01-01,Gas Bill,51.5,Bills
2024-01-21,Concert,57.6,Entertainment
2024-01-04,Water Bill,34.13,Bills
2024-01-17,Freelance Payment,36.67,Income
2024-01-10,Gas Bill,64.8,Bills
2024-01-31,Miscellaneous,1.91,Other
2024-01-23,Salary,33.82,Income
2024-01-12,Electricity Bill,7.25,Bills
2024-01-09,Train Ticket,14.74,Transport
2024-01-31,Metro,32.06,Transport
2024-01-10,Electronics Store,61.78,Shopping
2024-01-22,Gift,199.79,Other
2024-01-17,Restaurant,19.17,Food
2024-01-17,Lottery,168.1,Other
2024-01-29,Lottery,36.27,Other
2024-01-28,Internet Bill,-87.16,Bills
2024-01-22,Food Court,15.68,Food
2024-01-13,Big Bazaar,120.06,Food
2024-01-08,Donation,352793.77,Other
2024-01-20,Interest Credit,16.15,Income
2024-01-27,Swiggy,16.23,Food
2024-01-08,Bus Ticket,9.68,Transport
2024-01-27,Clothing Store,10.33,Shopping
2024-01-31,Bonus,1.78,Income
2024-01-05,Movie,26.99,Entertainment
2024-01-05,DTH Recharge,106.09,Bills
2024-01-17,Myntra,9.09,Shopping
2024-01-21,Donation,35.94,Other
2024-01-25,Freelance Payment,8.81,Income
2024-01-11,Internet Bill,3.09,Bills
2024-01-17,Miscellaneous,6.4,Other
2024-01-01,Salary,26.17,Income
2024-01-10,Refund,17.1,Income
2024-01-06,Lottery,83.05,Other
2024-01-21,Movie,333618.8,Entertainment
2024-01-24,Clothing Store,700162.65,Shopping
2024-01-08,Bonus,134.19,Income
2024-01-20,Amazon,22.51,Shopping
2024-01-11,BookMyShow,297.2,Entertainment
2024-01-16,Lifestyle,5.51,Shopping
2024-01-26,Internet Bill,26.14,Bills
2024-01-25,Flipkart,34.21,Shopping
2024-01-16,Amusement Park,88.29,Entertainment
2024-01-05,Clothing Store,48.38,Shopping
2024-01-06,Donation,1.26,Other
2024-01-23,Dominos,4.51,Food
2024-01-22,Freelance Payment,11.34,Income
2024-01-12,Amazon,23.78,Shopping
2024-01-11,Freelance Payment,801192.33,Income
2024-01-28,Cashback,33.82,Other
2024-01-11,Train Ticket,25.43,Transport
2024-01-20,BookMyShow,481001.63,Entertainment
2024-01-16,YouTube Premium,28.94,Entertainment
2024-01-19,Lifestyle,48.38,Shopping
2024-01-30,Amusement Park,26.54,Entertainment
2024-01-17,Interest Credit,49.52,Income
2024-01-27,Train Ticket,34.57,Transport
2024-01-05,Movie,2.64,Entertainment
2024-01-10,BookMyShow,12.77,Entertainment
2024-01-05,Cashback,11.79,Other
2024-01-22,Train Ticket,25.01,Transport
2024-01-05,Cab Fare,27.53,Transport
2024-01-17,Freelance Payment,5.57,Income
2024-01-21,Big Bazaar,20.49,Food
2024-01-10,Uber,11.09,Transport
2024-01-27,Lottery,6.04,Other
2024-01-25,Water Bill,203.65,Bills
2024-01-30,Shopping Mall,13.03,Shopping
2024-01-07,Gas Bill,163.13,Bills
2024-01-28,Pizza Hut,120.13,Food
2024-01-06,DTH Recharge,19.42,Bills
2024-01-27,Miscellaneous,72.99,Other
2024-01-31,Netflix,35.57,Entertainment
2024-01-13,Refund,120.44,Income
2024-01-15,Water Bill,36.17,Bills
2024-01-23,Electricity Bill,77.62,Bills
2024-01-16,Bonus,27.7,Income
2024-01-13,Gift,16.35,Other
2024-01-17,Bus Ticket,15.83,Transport
2024-01-21,Myntra,154.13,Shopping
2024-01-11,Cashback,44.49,Other
2024-01-25,Uber,12.19,Transport
2024-01-11,Food Court,8.2,Food
2024-01-21,Donation,11.01,Other
2024-01-17,DTH Recharge,4.15,Bills
2024-01-19,Flipkart,965343.09,Shopping
2024-01-05,Cashback,130.25,Other
2024-01-26,Myntra,65.75,Shopping
2024-01-28,Mobile Recharge,33.7,Bills
2024-01-18,Electronics Store,171.16,Shopping
2024-01-31,Big Bazaar,4.36,Food
2024-01-30,Lottery,15.82,Other
2024-01-03,Freelance Payment,26.86,Income
2024-01-26,Ola,291202.55,Transport
2024-01-16,Gift,13.17,Other
2024-01-25,Dominos,57.36,Food
2024-01-26,Netflix,12.71,Entertainment
2024-01-25,Train Ticket,31.56,Transport
2024-01-03,Bus Ticket,623275.4,Transport
2024-01-08,Bonus,17.39,Income
2024-01-13,Donation,17.55,Other
2024-01-08,Refund,22.26,Income
2024-01-31,BookMyShow,32.0,Entertainment
2024-01-31,Gas Bill,198.11,Bills
2024-01-05,Bus Ticket,571227.84,Transport
2024-01-21,Miscellaneous,12.66,Other
2024-01-06,Miscellaneous,11.74,Other
2024-01-15,Food Court,31.88,Food
2024-01-05,DTH Recharge,45.86,Bills
2024-01-05,Freelance Payment,43.3,Income
2024-01-14,Metro,46.58,Transport
2024-01-12,Mobile Recharge,5.13,Bills
2024-01-24,Amazon,5.23,Shopping
2024-01-04,Gas Bill,42.24,Bills
2024-01-27,DTH Recharge,71.74,Bills
2024-01-02,Spotify,82.7,Entertainment
2024-01-08,Donation,20.4,Other
2024-01-03,Cashback,3.55,Other
2024-01-30,Freelance Payment,15.78,Income
2024-01-12,Gas Bill,0.94,Bills
2024-01-05,Amusement Park,16.37,Entertainment
2024-01-10,Metro,28.25,Transport
2024-01-22,Flipkart,105.47,Shopping
2024-01-10,Cafe Coffee Day,9.38,Food
2024-01-23,Amazon,123.28,Shopping
2024-01-23,Ola,65.21,Transport
2024-01-25,Salary,14.0,Income
2024-01-03,Freelance Payment,13.84,Income
